,title,price,year,link,brand,type,age
144,"schwinn blue pixie bicycle 16"" bike all original w training wheels",775,,https://cnj.craigslist.org/bik/d/linden-schwinn-blue-pixie-bicycle-16/7882477720.html,schwinn,missing,
145,schwinn  5 speed red  apple  stingray bicycle all original,2600,,https://cnj.craigslist.org/bik/d/linden-schwinn-speed-red-apple-stingray/7882406678.html,schwinn,missing,
146,schwinn  5 speed red  apple  stingray bicycle all original,2800,,https://cnj.craigslist.org/bik/d/linden-schwinn-speed-red-apple-stingray/7886263600.html,schwinn,missing,
147,schwinn apple krate stingray 5 speed  bicycle all original,3200,,https://cnj.craigslist.org/bik/d/linden-schwinn-apple-krate-stingray/7892017605.html,schwinn,missing,
148,"mongoose old school bmx bike pro dirt bike 20"" free style vintage",200,,https://cnj.craigslist.org/bik/d/linden-mongoose-old-school-bmx-bike-pro/7884790079.html,missing,bmx,
149,kink bmx bike,300,,https://cnj.craigslist.org/bik/d/dunellen-kink-bmx-bike/7894366474.html,missing,bmx,
150,haro bmx bike/ 2022,200,2022.0,https://cnj.craigslist.org/bik/d/dunellen-haro-bmx-bike-2022/7894365948.html,missing,bmx,4.0
151,"trek 24"" kids bike, 21 speeds",50,,https://cnj.craigslist.org/bik/d/rocky-hill-trek-24-kids-bike-21-speeds/7883099462.html,trek,kids,
152,"for sale: zizzo campo 20” folding bike – 7-speed, lightweight",180,,https://cnj.craigslist.org/bik/d/trenton-for-sale-zizzo-campo-20-folding/7896123709.html,zizzo,folding,
153,"for sale: zizzo campo 20” folding bike – 7-speed, lightweight",200,,https://cnj.craigslist.org/bik/d/trenton-for-sale-zizzo-campo-20-folding/7897044206.html,zizzo,folding,
154,fully custom bmx bike,400,,https://cnj.craigslist.org/bik/d/cream-ridge-fully-custom-bmx-bike/7911358184.html,missing,bmx,
155,viathon m.1 x01 eagle carbon mountain bike medium,1500,,https://cnj.craigslist.org/bik/d/south-plainfield-viathon-m1-x01-eagle/7909898248.html,missing,mountain,
156,raleigh mountain bicycle,200,,https://cnj.craigslist.org/bik/d/princeton-raleigh-mountain-bicycle/7881520174.html,raleigh,mountain,
157,specialized haul st e - cargo/commuter bike,1500,,https://cnj.craigslist.org/bik/d/lambertville-specialized-haul-st-cargo/7904008817.html,specialized,missing,
158,woom 3 kids bike,375,,https://cnj.craigslist.org/bik/d/trenton-woom-kids-bike/7904079641.html,missing,kids,
159,( brand new )e-mountain bike (for trades ),2000,,https://cnj.craigslist.org/bik/d/linden-brand-new-mountain-bike-for/7875532536.html,missing,missing,
160,ninebot e-kick scooter model c2 pro,150,,https://cnj.craigslist.org/bik/d/edison-ninebot-kick-scooter-model-c2-pro/7880863130.html,missing,missing,
161,rare simoncini special professional road bike bicycle bontrager wheels,875,,https://cnj.craigslist.org/bik/d/hightstown-rare-simoncini-special/7881627789.html,missing,road,
162,bicycle schwinn collegiate 3-speed girls / ladies bike,125,,https://cnj.craigslist.org/bik/d/hightstown-bicycle-schwinn-collegiate/7875904573.html,schwinn,missing,
163,womens / ladies bikes vintage rollfast 3-speed bike bicycle,50,,https://cnj.craigslist.org/bik/d/cranbury-womens-ladies-bikes-vintage/7874352375.html,missing,missing,
164,mechanics special ebike and bike with motor,450,,https://cnj.craigslist.org/bik/d/plainfield-mechanics-special-ebike-and/7911274344.html,missing,missing,
165,schwinn exercise bike,35,,https://cnj.craigslist.org/bik/d/colonia-schwinn-exercise-bike/7903848768.html,schwinn,missing,
166,schwinn exercise bike,35,,https://cnj.craigslist.org/bik/d/colonia-schwinn-exercise-bike/7909863848.html,schwinn,missing,
167,litespeed titanium mountain bike,1200,,https://cnj.craigslist.org/bik/d/princeton-litespeed-titanium-mountain/7888076524.html,missing,mountain,
168,litespeed titanium mountain bike,1200,,https://cnj.craigslist.org/bik/d/princeton-litespeed-titanium-mountain/7888076359.html,missing,mountain,
169,litespeed titanium mountain bike,1200,,https://cnj.craigslist.org/bik/d/princeton-litespeed-titanium-mountain/7877511476.html,missing,mountain,
170,litespeed titanium mountain bike,1200,,https://cnj.craigslist.org/bik/d/princeton-litespeed-titanium-mountain/7888076469.html,missing,mountain,
171,litespeed titanium mountain bike,1200,,https://cnj.craigslist.org/bik/d/princeton-litespeed-titanium-mountain/7888076568.html,missing,mountain,
172,girls kent purple bicycle,25,,https://cnj.craigslist.org/bik/d/plainsboro-girls-kent-purple-bicycle/7879927322.html,missing,missing,
173,ladies 3 speed road bike (sm. frame),100,,https://cnj.craigslist.org/bik/d/east-brunswick-ladies-speed-road-bike/7886984047.html,missing,road,
174,men's 10 speed road bike,140,,https://cnj.craigslist.org/bik/d/east-brunswick-mens-10-speed-road-bike/7883944582.html,missing,road,
175,men's 10 speed road bike (delivered to p.u.),150,,https://cnj.craigslist.org/bik/d/east-brunswick-mens-10-speed-road-bike/7887609318.html,missing,road,
176,men's 24 speed road bike (delivered to p.u.),300,,https://cnj.craigslist.org/bik/d/east-brunswick-mens-24-speed-road-bike/7887699520.html,missing,road,
177,men's 10 speed road bike,140,,https://cnj.craigslist.org/bik/d/east-brunswick-mens-10-speed-road-bike/7878813255.html,missing,road,
178,men's 10 speed road bike (lg. frame),160,,https://cnj.craigslist.org/bik/d/east-brunswick-mens-10-speed-road-bike/7894187152.html,missing,road,
179,woman's bike,50,,https://cnj.craigslist.org/bik/d/burlington-womans-bike/7878556150.html,missing,missing,
